converted_date,.geo,LST_AVE
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14571
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14574
2023-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14576
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14577
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14585
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14586
2022-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14588
2023-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14589
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14591
2022-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14595
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14597
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14598
2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14599
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14601
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14602
2023-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14605
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14607
2022-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14608
2022-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14609
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14612
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14613
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14616
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14618
2023-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14623
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14625
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14626
2023-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14627
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14628
2023-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14630
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14631
2022-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14632
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14633
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14636
2023-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14637
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14639
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14640
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14642
2022-11-27,"{""type"":""MultiPoint"",""coordinates"":[]}",14644
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14649
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14650
2022-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14651
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14652
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14653
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14655
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14658
2023-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14662
